fid,X,Y,Адрес_clean,Адрес,Численность жителей,Жилая площадь,Население округл,Население норм.,field_9
1,30.5098178,59.90294852,"Австрийская улица, 4 к1","Всеволожский р-н, Кудрово г, Австрийская ул, 4 к. 1",631,"31542",1155,"1155,384615","31542"
2,30.50617331,59.91603747,"Областная улица, 1","Всеволожский р-н, Кудрово г, Новый Оккервиль мкр, Областная ул, 1",3708,"187050,45",6852,"6851,664835","187050,45"
3,30.51164382,59.90137738,"Европейский проспект, 9 к1","Всеволожский р-н, Кудрово г, Европейский пр-кт, 9 к. 1",300,"8184,9",300,"299,8131868","8184,9"
4,30.51182846,59.90219928,"Европейский проспект, 9 к2","Всеволожский р-н, Кудрово г, Европейский пр-кт, 9 к. 2",300,"6874,5",252,"251,8131868","6874,5"
5,30.50960008,59.90448475,"Европейский проспект, 13 к1","Всеволожский р-н, Кудрово г, Европейский пр-кт, 13 к. 1",378,"18887,2",692,"691,8388278","18887,2"
6,30.51028695,59.90400323,"Европейский проспект, 13 к3","Всеволожский р-н, Кудрово г, Европейский пр-кт, 13 к. 3",184,"9163,5",336,"335,6593407","9163,5"
7,30.51073852,59.90032165,"Венская улица, 4 к2","Всеволожский р-н, Кудрово г, Венская ул, 4 к. 2",724,"28580,6",1047,"1046,908425","28580,6"
8,30.50843639,59.90063342,"Венская улица, 4 к1","Всеволожский р-н, Кудрово г, Венская ул, 4 к. 1",532,"18908,1",693,"692,6043956","18908,1"
9,30.51106914,59.90519559,"Европейский проспект, 13 к2","Всеволожский р-н, Кудрово г, Европейский пр-кт, 13 к. 2",539,"20112,27",737,"736,7131868","20112,27"
10,30.51039341,59.89930125,"Европейский проспект, 5","Всеволожский р-н, Кудрово г, Европейский пр-кт, 5",690,"24987,6",915,"915,2967033","24987,6"
11,30.51026801,59.91395417,"Ленинградская улица, 5",,903,"45119,65",1653,"1652,734432","45119,65"
12,30.51168469,59.9046015,"Европейский проспект, 13 к4","Всеволожский р-н, Кудрово г, Европейский пр-кт, 13 к. 4",233,"9288,4",340,"340,2344322","9288,4"
13,30.50653482,59.91346421,"Ленинградская улица, 3",,1297,"59605,8",2183,"2183,362637","59605,8"
14,30.51203385,59.90386468,"Европейский проспект, 13 к6","Всеволожский р-н, Кудрово г, Европейский пр-кт, 13 к. 6",331,"14460,3",530,"529,6813187","14460,3"
15,30.5122691,59.90567278,"Европейский проспект, 13 к5","Всеволожский р-н, Кудрово г, Европейский пр-кт, 13 к. 5",424,"16418,8",601,"601,4212454","16418,8"
16,30.51221155,59.91612113,"Каштановая аллея, 3","Всеволожский р-н, Кудрово г, Новый Оккервиль мкр, Каштановая аллея, 3",770,"41834,6",1532,"1532,40293","41834,6"
17,30.51429631,59.914836,"Ленинградская улица, 7",,1435,"75296,6",2758,"2758,117216","75296,6"
18,30.51658687,59.91888446,"проспект Строителей, 2",,1190,"61276,9",2245,"2244,575092","61276,9"
19,30.51279006,59.90053985,"Европейский проспект, 8","Всеволожский р-н, Кудрово г, Европейский пр-кт, 8",,"14899,45",546,"545,7673993","14899,45"
20,30.51454802,59.90226237,"Английская улица, 1",,1127,"39298",1439,"1439,487179","39298"
21,30.51780679,59.89952299,"Столичная улица, 4 к2","Всеволожский р-н, Кудрово г, Столичная ул, 4 к. 2",351,"13947,4",511,"510,8937729","13947,4"
22,30.51598063,59.89975472,"Столичная улица, 4 к4","Всеволожский р-н, Кудрово г, Столичная ул, 4 к. 4",430,"17436,5",639,"638,6996337","17436,5"
23,30.51522193,59.89914802,"Столичная улица, 4","Всеволожский р-н, Кудрово г, Столичная ул, 4",294,"11430",419,"418,6813187","11430"
24,30.51092876,59.90651283,"Итальянский переулок, 4","Всеволожский р-н, Кудрово г, Итальянский пер, 4",1219,"48178,7",1765,"1764,787546","48178,7"
25,30.51797462,59.91691554,"проспект Строителей, 6",,962,"54485,1",1996,"1995,791209","54485,1"
26,30.51668245,59.90043675,"Столичная улица, 4 к3","Всеволожский р-н, Кудрово г, Столичная ул, 4 к. 3",576,"23884,6",875,"874,8937729","23884,6"
27,30.51917183,59.8989328,"проспект Строителей, 20 к2",,594,"18610,9",682,"681,7179487","18610,9"
28,30.51988957,59.89953145,"проспект Строителей, 20 к1",,421,"14712,4",539,"538,9157509","14712,4"
29,30.52137644,59.90504657,"Пражская улица, 15","обл. Ленинградская, р-н. Всеволожский, д. Кудрово, ул. Пражская, д. 15",,"55563,1",2035,"2035,278388","55563,1"
30,30.51019137,59.91767665,"Областная улица, 5 к5","Всеволожский р-н, Кудрово г, Новый Оккервиль мкр, Областная ул, 5 к. 5",106,"4510,5",165,"165,2197802","4510,5"
31,30.50917943,59.91694321,"Областная улица, 5 к6","Всеволожский р-н, Кудрово г, Новый Оккервиль мкр, Областная ул, 5 к. 6",508,"22484,3",824,"823,6007326","22484,3"
32,30.51969431,59.90366081,"Английская улица, 2","Всеволожский р-н, Кудрово г, Английская ул, 2",2619,"71929,9",2635,"2634,794872","71929,9"
33,30.51581436,59.90404742,"Столичная улица, 14","Всеволожский р-н, Кудрово г, Столичная ул, 14",270,"13469,3",493,"493,3809524","13469,3"
