entrance_id,rank,stop_id,walk_dist_m,weight_logit,weight_inv,reachable
1,1,31,124.5,0.3876,0.4224,True
1,2,49,164.3,0.3305,0.3199,True
1,3,39,204.0,0.282,0.2577,True
2,1,34,244.5,0.374,0.3698,True
2,2,9,254.1,0.3599,0.3558,True
2,3,51,329.5,0.2662,0.2744,True
3,1,9,146.5,0.4139,0.4425,True
3,2,51,221.8,0.3061,0.2921,True
3,3,34,244.1,0.28,0.2654,True
4,1,9,173.9,0.4139,0.4277,True
4,2,51,249.3,0.3061,0.2984,True
4,3,34,271.6,0.28,0.2739,True
5,1,9,202.2,0.4139,0.4162,True
5,2,51,277.6,0.3061,0.3032,True
5,3,34,299.9,0.28,0.2806,True
6,1,9,224.3,0.4139,0.409,True
6,2,51,299.6,0.3061,0.3061,True
6,3,34,321.9,0.28,0.2849,True
7,1,9,288.4,0.3609,0.356,True
7,2,8,312.2,0.3282,0.3288,True
7,3,7,325.7,0.3109,0.3152,True
8,1,9,308.2,0.3609,0.3546,True
8,2,8,332.0,0.3282,0.3292,True
8,3,7,345.6,0.3109,0.3163,True
9,1,9,325.8,0.3609,0.3535,True
9,2,8,349.6,0.3282,0.3294,True
9,3,7,363.1,0.3109,0.3171,True
10,1,33,144.0,0.4312,0.4604,True
10,2,12,216.4,0.3228,0.3064,True
10,3,11,284.3,0.246,0.2332,True
11,1,48,225.4,0.4009,0.3973,True
11,2,23,272.3,0.3324,0.329,True
11,3,50,327.3,0.2667,0.2737,True
12,1,48,259.8,0.3692,0.3653,True
12,2,50,291.9,0.3248,0.3252,True
12,3,23,306.7,0.3061,0.3095,True
13,1,50,258.6,0.3869,0.3794,True
13,2,48,294.5,0.3352,0.3331,True
13,3,23,341.3,0.2779,0.2874,True
14,1,50,225.7,0.4516,0.4367,True
14,2,48,328.1,0.2998,0.3004,True
14,3,23,374.9,0.2486,0.2629,True
15,1,21,246.9,0.3865,0.3806,True
15,2,29,274.6,0.3461,0.3422,True
15,3,16,339.0,0.2674,0.2772,True
16,1,52,207.6,0.3842,0.3833,True
16,2,51,215.3,0.3725,0.3695,True
