podyezd,distance_to_metro_m
0,2518.201071961187
1,2203.1777950086
2,2147.7441774001827
3,2118.1104667013096
4,2094.353441472895
5,2076.9325673237
6,2053.4929448823395
7,2061.043512045606
8,2041.4173528921324
9,1996.7779391802421
10,2583.7336609306644
11,2548.2758254864766
12,2514.958873267103
13,2482.033609283055
14,2116.575370676804
15,1923.5963904553626
16,2105.863828466509
17,2129.379798414357
18,2165.302574870956
19,2058.5961418095676
20,1897.0945880349234
21,1889.5079017176813
22,1855.5815378245015
23,1983.0980730196004
24,1950.6893339369535
25,1920.6089965145939
26,1856.0159929107479
27,1825.543938940151
28,1850.102903498654
29,1870.2983800769193
30,1886.447489807821
31,1926.0131560290934
32,1836.9312409535648
33,1921.1462657762581
34,1810.6443135812804
35,1947.1087392923755
36,1961.8855511003378
37,1879.688961720993
38,1835.1396509846588
39,1918.9111885286534
40,2228.0394890740554
41,2208.88212557853
42,2189.0447534388672
43,2169.8043328097856
44,2126.415830339545
45,2106.985145222817
46,2087.7506544169796
47,2039.3159438430064
48,2017.8820725152698
49,2001.788947774676
50,1969.3634343814472
51,2018.9222848842626
52,2445.667046245117
53,2388.635534421961
54,2443.306243242089
55,2413.173883057099
56,2462.731473159879
57,2457.3223477859524
58,2435.4375378239606
59,2432.5398608309947
60,2187.356592953124
61,2204.4303140034203
62,2207.500613100108
63,2186.5359757463534
64,1950.2624190623958
65,1943.7017315294743
66,1909.2419285330373
67,1955.2239264254613
68,1995.43604149707
69,2483.7945768945383
70,2493.616217228337
71,2428.616419306754
72,2457.8248821830693
73,2436.9227909412057
74,2404.1618229115
75,2428.2925085964666
76,2295.6521523562556
77,2269.0434137990605
78,2691.5107070469962
79,2706.197179060076
80,2722.536005149614
81,2766.7294621820047
82,2744.180092382175
83,1755.404596585202
84,1837.4951135840513
85,1945.2265785650975
86,1947.4953131528205
87,1847.2229281700695
88,1879.848743076387
89,1984.0904385628046
90,1926.4642936984403
91,1926.1401136976451
92,1954.8392615839398
93,1990.510301055644
94,2008.6445673373116
95,2183.03632638801
96,2371.1559414248222
97,2348.0500146911995
98,2324.1433946051206
99,2302.003729128366
100,2207.3617531634136
101,2174.472235080896
102,2247.68398311602
103,2267.7460892027393
104,1880.926485879803
105,1908.035986165565
106,1936.2041169076474
107,1959.262962317319
108,1986.6857847674123
109,1991.9687527623482
110,1967.8821487889816
111,1945.7264714440203
112,2022.3135338408097
113,2051.3534857608
114,2056.5977626369927
115,2034.3103075736972
116,2009.5438946437641
117,2668.647476172157
118,2679.2090435919786
119,2669.2727907344056
120,2647.507867146803
121,2673.2540848156177
122,2608.6607681715445
123,2573.91210318888
124,2555.6848573778834
125,2532.9530791780116
126,2587.382471196442
127,2587.995440936033
128,2522.9843433179635
129,2506.0783482481693
130,2621.703019829523
131,2610.733211288913
132,2518.4410119968634
133,2609.2861604862183
134,2503.0299042086262
135,2521.2597729867784
136,1961.1738788169182
137,1964.927792596525
138,1667.619206680849
139,1680.953465387776
140,1774.59955635046
141,1628.5509287233403
142,1755.377585682404
